Ascii Data Listing

Data listed on 10/24/23 17:30:26
file F:/PolyU/STM/SnTe/19 Oct 2023/Sb_SnTe_HOPG_PtIr_LT_2023_10_24_11_22_10_281.sm4, 10/24/23 11:13:31

Data Listing of Primary axis

 Plot Number: 1

	LIA Current, Bias 0.500 V, Setpoint 100.000 pA
	; ; 

8 lines of 1001 points, x units V y units A
LIA Current
Raw Data

DATA TABLE 3
	                	Amplitude       	Amplitude       	Amplitude       	Amplitude       	Amplitude       	Amplitude       	Amplitude       	Amplitude       
	1x V            	1y3 A           	1y4 A           	1y5 A           	1y6 A           	1y7 A           	1y8 A           
	X_pixel         	3.0679689e-07   	3.0679689e-07   	3.0679689e-07   	3.0679689e-07   	3.0679689e-07   	3.0679689e-07   
	Y_pixel         	4.9123798e-07   	4.9123798e-07   	4.9123798e-07   	4.9123798e-07   	4.9123798e-07   	4.9123798e-07   
	+4.6500000e-01  	+1.1254288e-11  	+8.0989070e-12  	+1.7321160e-11  	+9.8574864e-12  	+1.3001687e-11  	+3.1992978e-12  
	+4.6399999e-01  	+1.1608671e-11  	+7.3155570e-12  	+1.7054047e-11  	+8.5260531e-12  	+1.7849677e-11  	+3.3347262e-12  
	+4.6300000e-01  	+1.1278744e-11  	+7.7626013e-12  	+1.5986287e-11  	+7.4715867e-12  	+2.0263917e-11  	+3.8950934e-12  
	+4.6200001e-01  	+1.2219558e-11  	+8.6735983e-12  	+1.6716552e-11  	+6.9953873e-12  	+1.9098874e-11  	+2.9941509e-12  
	+4.6100000e-01  	+1.0995706e-11  	+8.3474070e-12  	+1.6753855e-11  	+8.1733379e-12  	+2.0172530e-11  	+2.9611168e-12  
	+4.6000001e-01  	+1.2083967e-11  	+8.5843164e-12  	+1.7028856e-11  	+7.3702216e-12  	+1.7710364e-11  	+3.4317933e-12  
	+4.5899999e-01  	+1.1626435e-11  	+7.8516083e-12  	+1.5178333e-11  	+9.6390023e-12  	+1.8378538e-11  	+4.0154160e-12  
	+4.5800000e-01  	+1.1965237e-11  	+7.0842308e-12  	+1.5842123e-11  	+8.3227687e-12  	+1.9551916e-11  	+4.0173342e-12  
	+4.5699999e-01  	+1.2597009e-11  	+8.9267734e-12  	+1.4206306e-11  	+8.1572821e-12  	+1.1403882e-11  	+3.3879932e-12  
	+4.5600000e-01  	+1.2340667e-11  	+8.4522363e-12  	+1.4890861e-11  	+8.3520500e-12  	+1.2494489e-11  	+2.9802090e-12  
	+4.5499998e-01  	+1.0722978e-11  	+7.5626744e-12  	+1.5131677e-11  	+8.1347160e-12  	+1.0591731e-11  	+3.3411245e-12  
	+4.5400000e-01  	+1.1548670e-11  	+8.3386293e-12  	+1.2278012e-11  	+8.0768760e-12  	+1.2828586e-11  	+3.4949743e-12  
	+4.5300001e-01  	+1.1358601e-11  	+6.7189943e-12  	+1.5439563e-11  	+8.9007196e-12  	+1.5771417e-11  	+3.9733247e-12  
	+4.5199999e-01  	+1.1024555e-11  	+7.3518275e-12  	+1.4286949e-11  	+7.5900926e-12  	+1.2516752e-11  	+4.0204077e-12  
	+4.5100001e-01  	+1.1764504e-11  	+7.7140473e-12  	+1.1687302e-11  	+8.8813618e-12  	+1.1059697e-11  	+4.0025778e-12  
	+4.4999999e-01  	+1.0655825e-11  	+6.2501801e-12  	+1.4535919e-11  	+8.0616494e-12  	+1.1009313e-11  	+5.4059409e-12  
	+4.4900000e-01  	+1.0787100e-11  	+7.6002624e-12  	+1.2955628e-11  	+8.7757778e-12  	+1.7448236e-11  	+4.1750119e-12  
	+4.4800001e-01  	+1.1260812e-11  	+7.3163958e-12  	+1.3325690e-11  	+7.5392982e-12  	+1.9802875e-11  	+5.1624794e-12  
	+4.4700000e-01  	+1.0392884e-11  	+8.2169662e-12  	+1.3844911e-11  	+7.6900378e-12  	+2.0136413e-11  	+4.2260110e-12  
	+4.4600001e-01  	+1.1336250e-11  	+7.4897050e-12  	+1.2610019e-11  	+8.1217984e-12  	+1.9184361e-11  	+3.8131464e-12  
	+4.4499999e-01  	+1.0301131e-11  	+7.1464805e-12  	+1.5177774e-11  	+6.3694128e-12  	+1.8215962e-11  	+4.8321672e-12  
	+4.4400001e-01  	+1.0866630e-11  	+7.9303005e-12  	+1.6047576e-11  	+8.1571095e-12  	+2.1713973e-11  	+5.1211843e-12  
	+4.4299999e-01  	+1.1375565e-11  	+7.8356453e-12  	+1.4207325e-11  	+7.8009439e-12  	+1.8863994e-11  	+4.7908630e-12  
	+4.4200000e-01  	+1.0276772e-11  	+7.2129629e-12  	+1.3721115e-11  	+7.8319851e-12  	+1.8831780e-11  	+5.1925283e-12  
